drug,metric,n,beta,ci_low,ci_high,p,r2,note
venetoclax,LN_IC50,165,0.10241863469635577,-0.05218981632691792,0.25702708571962946,0.19268285703546767,0.025280624715371403,
venetoclax,AUC,165,0.06600658379525662,-0.08924151227435198,0.22125467986486522,0.4023774347927813,0.01719873613908407,
navitoclax,LN_IC50,171,0.1276769870470308,-0.022302308904715934,0.27765628299877754,0.0946953335626715,0.0490547676958456,
navitoclax,AUC,171,0.07572160292214866,-0.0759081193392031,0.22735132518350043,0.3256105171415886,0.028010522885516087,
