sample,n_mono,n_prim,mono_guardian,prim_guardian,delta,p
AML1012-D0,310,546,0.6102543068088597,0.5118129614438064,0.09844134536505333,0.0003973161035490013
AML210A-D0,233,231,0.6449548810500411,0.2513535684987695,0.39360131255127156,1.0950907262902936e-09
AML328-D0,215,478,0.5885151763740771,0.2513535684987695,0.33716160787530763,1.675045684569669e-14
AML329-D0,18,235,0.2513535684987695,0.2513535684987695,0.0,0.25581405355750164
AML419A-D0,581,487,0.7367514356029532,0.5178014766201805,0.2189499589827727,4.7940474434279933e-35
