,mono_median,prim_median,p
MCL1,1.454400722280039,0.0,8.399154140208508e-64
BCL2,0.0,0.0,9.692016338028203e-23
guardian_dependence,0.6712879409351927,0.2513535684987695,1.412506574845633e-69
executioner_availability,0.4513535684987695,0.4513535684987695,0.8430414875854725
bypass_score,0.33746931447056816,0.13790423840194999,6.81073296179636e-41
