,HR_unadj,ci_unadj,p_unadj,n_unadj,HR_adj,ci_adj,p_adj,n_adj
susceptibility,1.0413989395022965,"[0.9447172977707234, 1.1479749060969469]",0.4145043631482055,649,0.9751027098011269,"[0.8794558466511514, 1.0811518261912914]",0.6321878392651457,646
guardian_dependence,0.9299544236747462,"[0.8435877856844611, 1.0251632903984556]",0.14422396575217675,649,0.919085062510062,"[0.8289374983076266, 1.0190362407946487]",0.10916769160321185,646
executioner_availability,0.8648949047296735,"[0.7833098807191282, 0.9549773526929085]",0.004088381238506526,649,0.9422594455535644,"[0.8506914488482853, 1.0436837750478585]",0.2541861220265294,646
