cohort,n,guardian_only_rho,guardian_only_p,executioner_only_rho,executioner_only_p,combined_rho,combined_p
DepMap (venetoclax LN_IC50),116,0.49742052050897634,1.3438286677121026e-08,0.03178410794602699,0.7348329913398604,0.3416798171686187,0.00017419071141239501
BeatAML (ex vivo venetoclax AUC),367,0.265385816920701,2.4757800373667187e-07,0.007696634518867692,0.883175043983781,0.2330943773041126,6.40612042192906e-06
