model,n,r2,adj_r2,aic,dR2,dAIC
base (lineage),116,0.014354222807524297,0.005708207218116601,331.516583716585,,
+confounders,116,0.4448099315173065,0.429938768968663,268.93414776050565,0.4304557087097822,-62.58243595607934
+executioner loss,116,0.44543210714302484,0.42544767857160226,270.8040790740726,0.0006221756257183131,1.8699313135669513
