lof,expr_q,drug,metric,lineage_subset,covset,n,beta,ci_low,ci_high,p,p_fdr
expression_only,0.1,venetoclax,AUC,leukemia_only,lineage,62,-0.07872332085970231,-0.34164217611280545,0.18419553439340086,0.5513737896119758,0.7244327162785084
expression_only,0.05,navitoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,44,-0.07842765951505595,-0.3033327905227071,0.14647747149259518,0.48503201414539565,0.6883695220395565
expression_only,0.05,venetoclax,LN_IC50,all_heme,none,165,-0.07579237665476486,-0.23001203975285378,0.07842728644332404,0.3332632177035,0.5964211460058119
expression_only,0.2,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,-0.07502393133525147,-0.2109226110534983,0.06087474838299535,0.27637569660404643,0.5796745130192706
expression_only,0.1,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,-0.07091751605840797,-0.20931368865052014,0.06747865653370418,0.3121499998735859,0.5912165775540534
expression_only,0.05,venetoclax,LN_IC50,lymphoma_only,lineage_plus_mcl1,28,-0.06863354452765347,-0.36586455081486213,0.2285974617595552,0.6385116522045121,0.7953778366561396
expression_only,0.1,venetoclax,AUC,leukemia_only,none,62,-0.06699392601910709,-0.32465110410465803,0.19066325206644386,0.6049068505970471,0.7799152926038319
continuous_score,0.2,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.06454348633430679,-0.3766472240992791,0.2475602514306655,0.6776246186322367,0.8213550845835887
any_of_three,0.2,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.06454348633430672,-0.3766472240992789,0.24756025143066546,0.6776246186322368,0.8213550845835887
expression_only,0.1,navitoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,44,-0.06338895019318089,-0.3183391876865517,0.19156128730018993,0.6180675515662183,0.7804438119769782
expression_only,0.1,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,-0.05099491373008191,-0.18788273117583146,0.08589290371566763,0.46198423313658016,0.6630012001052353
expression_only,0.05,navitoclax,AUC,all_heme,lineage,171,-0.04777971082282304,-0.19851095019904128,0.1029515285533952,0.5323023766776809,0.7097365022369079
expression_only,0.1,venetoclax,AUC,all_heme,lineage,165,-0.04743186608972209,-0.20185801177202922,0.10699427959258506,0.5450103253129784,0.718694934478653
expression_only,0.1,venetoclax,AUC,all_heme,none,165,-0.03839998258891876,-0.1929504464727292,0.11615048129489168,0.6243550495815826,0.7804438119769782
expression_only,0.05,navitoclax,AUC,all_heme,none,171,-0.03800315383448475,-0.1897473380808176,0.1137410304118481,0.6216670701499566,0.7804438119769782
expression_only,0.1,venetoclax,LN_IC50,leukemia_only,lineage,62,-0.034454875250886176,-0.29805918392760405,0.2291494334258317,0.7945841452051539,0.87745488427563
expression_only,0.1,venetoclax,LN_IC50,all_heme,lineage,165,-0.03112866698464615,-0.18549292561156483,0.12323559164227255,0.6909955116073435,0.823703258869681
expression_only,0.2,navitoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,44,-0.030717469083843117,-0.25875879117512995,0.1973238530074437,0.7868367091126791,0.8718863417726886
expression_only,0.2,venetoclax,AUC,lymphoma_only,lineage,48,-0.030117804622544875,-0.3267684344159124,0.26653282517082266,0.8389724534041838,0.8962317009658937
expression_only,0.1,venetoclax,AUC,lymphoma_only,none,48,-0.030117804622544875,-0.3267684344159124,0.26653282517082266,0.8389724534041838,0.8962317009658937
expression_only,0.1,venetoclax,AUC,lymphoma_only,lineage,48,-0.030117804622544875,-0.3267684344159124,0.26653282517082266,0.8389724534041838,0.8962317009658937
expression_only,0.2,venetoclax,AUC,lymphoma_only,none,48,-0.030117804622544875,-0.3267684344159124,0.26653282517082266,0.8389724534041838,0.8962317009658937
expression_only,0.2,navitoclax,AUC,leukemia_only,none,65,-0.029703848073656915,-0.28135999745249424,0.22195230130518043,0.8142978462729138,0.8829685768660329
continuous_score,0.2,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,-0.026791478064902105,-0.33105221256334616,0.2774692564335419,0.8593703579638946,0.9042260196210267
any_of_three,0.2,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,-0.026791478064902077,-0.331052212563346,0.27746925643354187,0.8593703579638947,0.9042260196210267
expression_only,0.2,navitoclax,AUC,all_heme,lineage,171,-0.02665938446676218,-0.1772022706631528,0.12388350172962846,0.7270729304897454,0.8431083720210415
expression_only,0.2,navitoclax,AUC,all_heme,none,171,-0.02627199043385483,-0.17807345585549247,0.1255294749877828,0.7330358901182944,0.8431083720210415
expression_only,0.05,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,-0.02472974274077623,-0.16575431728504164,0.11629483180348917,0.7289062726778586,0.8431083720210415
expression_only,0.1,venetoclax,LN_IC50,leukemia_only,none,62,-0.024380285552588216,-0.28254086462783945,0.23378029352266302,0.8508047853290237,0.9042260196210267
expression_only,0.2,navitoclax,AUC,leukemia_only,lineage,65,-0.022361397420493527,-0.27438107777493687,0.2296582829339498,0.8597988665245246,0.9042260196210267
expression_only,0.05,navitoclax,LN_IC50,all_heme,lineage,171,-0.021929921297876652,-0.17197300418404554,0.12811316158829222,0.7732876141169457,0.8718863417726886
expression_only,0.1,venetoclax,LN_IC50,all_heme,none,165,-0.021520919410353626,-0.1761496357418464,0.13310779692113917,0.7837992127544929,0.8718863417726886
any_of_three,0.1,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.01981593957772746,-0.36514344963123047,0.3255115704757755,0.9080680914929622,0.9310329974204316
continuous_score,0.1,venetoclax,AUC,leukemia_only,lineage_plus_mcl1,41,-0.01981593957772742,-0.3651434496312304,0.32551157047577556,0.9080680914929624,0.9310329974204316
expression_only,0.1,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,-0.018426598341425383,-0.14222506226506804,0.10537186558221728,0.768671071180009,0.8718863417726886
expression_only,0.2,navitoclax,AUC,all_heme,lineage_plus_mcl1,120,-0.015872661950733273,-0.13913059971548444,0.10738527581401791,0.7991306868623455,0.8797769029677198
expression_only,0.05,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,-0.011726845472533276,-0.15097189234438627,0.1275182013993197,0.8677765074368606,0.9042260196210267
expression_only,0.05,navitoclax,LN_IC50,all_heme,none,171,-0.010196218775701135,-0.1620422055565045,0.1416497680051022,0.894700855907749,0.9255526095597403
continuous_score,0.2,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,-0.007425557820383755,-0.17271903676674288,0.15786792112597536,0.9292328443251521,0.9449825535510021
any_of_three,0.2,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,-0.007425557820383755,-0.17271903676674288,0.15786792112597536,0.9292328443251521,0.9449825535510021
expression_only,0.2,venetoclax,LN_IC50,lymphoma_only,lineage,48,-0.0004333007568585699,-0.29721853753647176,0.29635193602275467,0.997667897058596,0.997667897058596
expression_only,0.2,venetoclax,LN_IC50,lymphoma_only,none,48,-0.0004333007568585699,-0.29721853753647176,0.29635193602275467,0.997667897058596,0.997667897058596
expression_only,0.1,venetoclax,LN_IC50,lymphoma_only,lineage,48,-0.0004333007568585699,-0.29721853753647176,0.29635193602275467,0.997667897058596,0.997667897058596
expression_only,0.1,venetoclax,LN_IC50,lymphoma_only,none,48,-0.0004333007568585699,-0.29721853753647176,0.29635193602275467,0.997667897058596,0.997667897058596
expression_only,0.05,navitoclax,AUC,lymphoma_only,lineage,49,0.0032240825230178682,-0.29021690527954574,0.2966650703255815,0.9824591198891273,0.9934979864047354
expression_only,0.05,navitoclax,AUC,lymphoma_only,none,49,0.0032240825230178682,-0.29021690527954574,0.2966650703255815,0.9824591198891273,0.9934979864047354
expression_only,0.1,navitoclax,AUC,all_heme,lineage,171,0.010659436958222798,-0.14039699629286465,0.16171587020931025,0.8893718884981956,0.922691296424641
any_of_three,0.1,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,0.018801439612817144,-0.31719969880484306,0.3548025780304774,0.910343375255533,0.9310329974204316
continuous_score,0.1,venetoclax,LN_IC50,leukemia_only,lineage_plus_mcl1,41,0.018801439612817165,-0.31719969880484306,0.3548025780304774,0.9103433752555329,0.9310329974204316
any_of_three,0.2,venetoclax,AUC,all_heme,lineage,165,0.021185607787273054,-0.13347424501417782,0.1758454605887239,0.7871196141003439,0.8718863417726886
continuous_score,0.2,venetoclax,AUC,all_heme,lineage,165,0.021185607787273054,-0.13347424501417782,0.1758454605887239,0.7871196141003439,0.8718863417726886
expression_only,0.2,navitoclax,LN_IC50,all_heme,lineage,171,0.0215935541433149,-0.12814310155304706,0.17133020983967687,0.776226421874958,0.8718863417726886
expression_only,0.2,navitoclax,LN_IC50,all_heme,none,171,0.022064009329301002,-0.12975290394857814,0.17388092260718013,0.7745388342851371,0.8718863417726886
expression_only,0.1,navitoclax,AUC,all_heme,none,171,0.02236222010130234,-0.12945368701933435,0.17417812722193904,0.7715749150542008,0.8718863417726886
any_of_three,0.2,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,0.022403879118192124,-0.1406880626030555,0.18549582083943972,0.7859845151135043,0.8718863417726886
continuous_score,0.2,venetoclax,LN_IC50,all_heme,lineage_plus_mcl1,116,0.022403879118192124,-0.1406880626030555,0.18549582083943972,0.7859845151135043,0.8718863417726886
expression_only,0.1,navitoclax,AUC,leukemia_only,none,65,0.029305304355037587,-0.22235380680993977,0.28096441552001494,0.8167459336010805,0.8829685768660329
continuous_score,0.1,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,0.029396580967263487,-0.14049951589082305,0.19929267782535004,0.7323686123538395,0.8431083720210415
any_of_three,0.1,venetoclax,AUC,all_heme,lineage_plus_mcl1,116,0.02939658096726358,-0.14049951589082293,0.1992926778253501,0.7323686123538389,0.8431083720210415
continuous_score,0.2,venetoclax,AUC,all_heme,none,165,0.030630570491693355,-0.12396139380217042,0.1852225347855571,0.6961244960825004,0.8243579558871715
any_of_three,0.2,venetoclax,AUC,all_heme,none,165,0.030630570491693355,-0.12396139380217042,0.1852225347855571,0.6961244960825004,0.8243579558871715
continuous_score,0.1,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.030708873568065252,-0.34902716333932504,0.4104449104754555,0.8690616744135423,0.9042260196210267
continuous_score,0.2,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.030708873568065252,-0.34902716333932504,0.4104449104754555,0.8690616744135423,0.9042260196210267
any_of_three,0.2,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.030708873568065356,-0.34902716333932493,0.4104449104754556,0.8690616744135419,0.9042260196210267
any_of_three,0.1,venetoclax,AUC,lymphoma_only,lineage_plus_mcl1,28,0.030708873568065356,-0.34902716333932493,0.4104449104754556,0.8690616744135419,0.9042260196210267
expression_only,0.1,navitoclax,LN_IC50,all_heme,lineage_plus_mcl1,120,0.031208556828394685,-0.08850449138121477,0.15092160503800414,0.6066007831363137,0.7799152926038319
