rnaseq_sample,guardian_dependence,executioner_deficiency,susceptibility_score,executioner_loss_call,executioner_loss_score
BA2392R,0.3953323903818953,0.8288543140028288,0.5724272506031525,False,0.0
BA2611R,0.42503536067892506,0.8104667609618105,0.5869216575180057,False,0.0
BA2506R,0.4045261669024045,0.7369165487977369,0.5459872038904366,False,0.0
BA2430R,0.42503536067892506,0.7835926449787836,0.5771088133826325,False,0.0
BA2448R,0.42503536067892506,0.7765205091937766,0.5744986289798778,False,0.0
BA2730R,0.41725601131541723,0.6265912305516266,0.5113207971373653,False,0.0
BA2845R,0.4045261669024045,0.9321074964639321,0.6140536399090482,False,0.0
BA2326R,0.41089108910891087,0.8868458274398868,0.6036530857276126,False,0.0
BA2341R,0.41371994342291374,0.8854314002828855,0.6052442720339505,False,0.0
BA2612R,0.3896746817538897,0.9151343705799151,0.597163875847974,False,0.0
BA2973R,0.3953323903818953,0.8925035360678925,0.5939996265470325,False,0.0
BA2390R,0.4045261669024045,0.8543140028288543,0.5878710478458744,False,0.0
BA3218R,0.3953323903818953,0.867043847241867,0.5854660679288273,False,0.0
BA3105R,0.3741159830268741,0.8826025459688827,0.5746265910199165,False,0.0
BA3402R,0.37906647807637905,0.8500707213578501,0.5676559824937699,False,0.0
BA3276R,0.37906647807637905,0.9094766619519095,0.5871559546992365,False,0.0
BA2409R,0.18104667609618105,0.4992927864214993,0.3006581104517437,False,0.0
BA3037R,0.49434229137199437,0.6096181046676097,0.5489626678775511,False,0.0
BA2496R,0.5643564356435643,0.620933521923621,0.5919694495532855,False,0.0
BA2172R,0.02545968882602546,0.2758132956152758,0.0837980947304024,False,0.0
BA2865R,0.13578500707213578,0.34229137199434234,0.2155876535587853,False,0.0
BA2923R,0.3868458274398868,0.021216407355021172,0.09059513595417176,False,0.0
BA2751R,0.055162659123055166,0.562942008486563,0.17621968709594368,False,0.0
BA2480R,0.5926449787835927,0.4823196605374823,0.5346441105877309,False,0.0
BA2286R,0.12942008486562942,0.528995756718529,0.2616537324940538,False,0.0
BA2922R,0.5240452616690241,0.4356435643564357,0.47780429642019195,False,0.0
BA2452R,0.15770862800565771,0.01555869872701554,0.049535250375777794,False,0.0
BA3379R,0.0891089108910891,0.31541725601131543,0.1676498975825042,False,0.0
BA2887R,0.1456859971711457,0.32814710042432815,0.21864683291586534,False,0.0
BA2712R,0.6188118811881188,0.28995756718529,0.42359082569699225,False,0.0
BA2068R,0.8734087694483734,0.07637906647807635,0.25828307428910663,False,0.0
BA2236R,0.942008486562942,0.8953323903818953,0.9183739489088475,False,0.0
BA2104R,0.6803394625176803,0.14851485148514854,0.3178687059704039,False,0.0
BA3124R,0.5367751060820368,0.9066478076379066,0.6976144874670275,False,0.0
BA3395R,0.1485148514851485,0.8642149929278642,0.3582579536115289,False,0.0
BA2921R,0.888967468175389,0.26308345120226306,0.48360379396166786,False,0.0
BA2449R,0.46746817538896746,0.5813295615275813,0.5212994047828627,False,0.0
BA2003R,0.9886845827439887,0.21923620933521926,0.4655700378557076,False,0.0
BA2360R,0.011315417256011316,0.008486562942008447,0.009799438798126581,False,0.0
BA2802R,0.8635077793493635,0.49504950495049505,0.6538188577028072,False,0.0
BA2235R,0.2065063649222065,0.29420084865629426,0.24648397070203074,False,0.0
BA2858R,0.7312588401697313,0.9391796322489392,0.8287239640491845,False,0.0
BA3038R,0.384016973125884,0.3578500707213579,0.37070271241427327,False,0.0
BA3006R,0.5643564356435643,0.016973125884017004,0.0978718183423265,False,0.0
BA2245R,0.35007072135785006,0.306930693069307,0.32779177709277146,False,0.0
BA2667R,0.21357850070721357,0.6322489391796322,0.36747078864001165,False,0.0
BA2239R,0.6188118811881188,0.2178217821782178,0.36713853896513177,False,0.0
BA2782R,0.7984441301272984,0.41301272984441306,0.5742539419212752,False,0.0
BA2649R,0.2376237623762376,0.7581329561527581,0.42444128618978333,False,0.0
BA2488R,0.06223479490806223,0.8557284299858557,0.23077279592094,False,0.0
BA2861R,0.10537482319660538,0.38330975954738333,0.20097561578917686,False,0.0
BA2909R,0.8274398868458275,0.5205091937765205,0.6562698137204369,False,0.0
BA2429R,0.2347949080622348,0.7751060820367751,0.4266039864678993,False,0.0
BA2653R,0.6067892503536068,0.9462517680339463,0.7577436248303863,False,0.0
BA2134R,0.5367751060820368,0.8415841584158416,0.6721171221674278,False,0.0
BA2947R,0.9745403111739745,0.5445544554455446,0.7284849129948233,False,0.0
BA2032R,0.49434229137199437,0.40311173974540315,0.4464024877895436,False,0.0
BA2162R,0.2765205091937765,0.7991513437057991,0.47008694566475495,False,0.0
BA2564R,0.5565770862800565,0.5417256011315417,0.5491011351664696,False,0.0
BA2597R,0.6704384724186704,0.7878359264497878,0.7267706068943238,False,0.0
BA3243R,0.958981612446959,0.7864214992927865,0.8684260230179376,False,0.0
BA2106R,0.8048090523338048,0.022630834512022635,0.13495740245404883,False,0.0
BA2427R,0.8826025459688827,0.08062234794908063,0.2667536120877235,False,0.0
BA2841R,0.25742574257425743,0.1669024045261669,0.20727994457394477,False,0.0
BA2446R,0.21145685997171146,0.23903818953323908,0.22482496518852518,False,0.0
BA2645R,0.6251768033946252,0.09193776520509189,0.23974436002159663,False,0.0
BA2525R,0.4893917963224894,0.09052333804809054,0.21047892772546847,False,0.0
BA2876R,0.7107496463932107,0.4186704384724187,0.545499648120475,False,0.0
BA2357R,0.5127298444130127,0.6492220650636492,0.576953662272439,False,0.0
BA2546R,0.28005657708628007,0.9434229137199435,0.5140153616003827,False,0.0
BA2742R,0.384016973125884,0.2248939179632249,0.29387596303654795,False,0.0
BA2316R,0.5509193776520509,0.1428571428571429,0.2805401365865628,False,0.0
BA2421R,0.9483734087694484,0.34512022630834516,0.5721038764589248,False,0.0
BA2087R,0.09193776520509193,0.30834512022630833,0.16837030992874658,False,0.0
BA2910R,0.2065063649222065,0.31824611032531824,0.25635882546523137,False,0.0
BA2148R,0.9052333804809052,0.4752475247524752,0.6559038979887722,False,0.0
BA2063R,0.5190947666195191,0.7001414427157002,0.602859651002752,False,0.0
BA2329R,0.2446958981612447,0.8231966053748232,0.44881269223973613,False,0.0
BA3178R,0.6895332390381895,0.22913719943422917,0.3974892643959377,False,0.0
BA2072R,0.4207920792079208,0.43281471004243277,0.42676105931835984,False,0.0
BA3029R,0.8246110325318247,0.17538896746817534,0.38029945774168894,False,0.0
BA2733R,0.6626591230551626,0.15558698727015563,0.321093656965123,False,0.0
BA2995R,0.7312588401697313,0.19943422913719944,0.3818874743808873,False,0.0
BA2069R,0.2446958981612447,0.09335219236209336,0.15113867326188793,False,0.0
BA2100R,0.9052333804809052,0.25318246110325315,0.4787371044142841,False,0.0
BA2681R,0.7312588401697313,0.504950495049505,0.6076590436692543,False,0.0
BA2248R,0.599009900990099,0.38896746817538896,0.48269593389639115,False,0.0
